RANK,MOVEMENT,PLAYER_ID,PLAYER,STAVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
146,0,50095,Austin Smotherman,-0.351,-27.405,-28.478,1.078,78
147,0,47079,Harrison Endycott,-0.357,-23.889,-14.921,-8.965,67
148,0,37338,Zecheng Dou,-0.361,-27.058,5.266,-32.319,75
149,0,31577,Tano Goya,-0.367,-22.741,-8.454,-14.284,62
150,0,32640,Troy Merritt,-0.384,-26.470,6.618,-33.086,69
151,0,32757,Patton Kizzire,-0.401,-32.071,-25.577,-6.490,80
152,0,20229,Stewart Cink,-0.407,-25.638,-17.052,-8.583,63
153,0,40006,Erik van Rooyen,-0.415,-23.266,-13.830,-9.432,56
154,0,24024,Zach Johnson,-0.419,-23.046,-31.601,8.559,55
155,0,52372,Cameron Champ,-0.433,-24.266,-4.392,-19.870,56
156,0,24140,Sean O'Hair,-0.445,-13.337,-8.263,-5.072,30
157,0,53165,Doc Redman,-0.457,-30.187,-33.475,3.292,66
158,0,30163,Henrik Norlander,-0.461,-30.895,-10.965,-19.925,67
159,0,19803,Ryan Armour,-0.493,-32.517,-21.413,-11.101,66
160,0,35879,Kelly Kraft,-0.506,-35.447,-55.640,20.196,70
161,0,46601,Trey Mullinax,-0.537,-35.978,-14.025,-21.948,67
162,0,34409,David Lingmerth,-0.581,-33.687,-36.643,2.958,58
163,0,25686,Jason Dufner,-0.595,-40.479,8.128,-48.602,68
164,0,34431,Robert Streb,-0.660,-38.969,-13.146,-25.821,59
165,0,36724,Augusto Núñez,-0.691,-39.409,-9.879,-29.527,57
166,0,47128,Richy Werenski,-0.697,-49.469,-74.552,25.086,71
167,0,46435,Austin Cook,-0.730,-40.171,-32.094,-8.074,55
168,0,27554,Scott Harrington,-0.736,-41.204,-14.907,-26.295,56
169,0,29289,S.Y. Noh,-0.739,-33.234,-43.631,10.400,45
170,0,24925,Jonathan Byrd,-0.817,-29.425,-12.964,-16.459,36
171,0,27974,Sung Kang,-0.831,-24.938,-23.796,-1.141,30
172,-1,33408,Tyson Alexander,-0.919,-63.415,-45.205,-18.208,69
173,-1,52411,Kyle Westmoreland,-0.944,-53.803,-28.346,-25.453,57
174,-1,51349,Nico Echavarria,-0.971,-50.497,-38.352,-12.141,52
175,-1,49766,Hank Lebioda,-0.998,-40.938,-40.070,-.865,41
176,-1,34610,Matthias Schwab,-1.006,-80.460,-49.349,-31.106,80
177,-1,35901,Paul Haley II,-1.012,-68.782,-52.989,-15.789,68
178,-1,58967,Trevor Werbylo,-1.039,-59.221,-49.400,-9.817,57
179,-1,31560,Brian Stuard,-1.061,-51.976,-63.218,11.244,49
180,-1,35617,Martin Trainer,-1.122,-41.523,-37.784,-3.737,37
181,0,48084,Wesley Bryan,-1.137,-31.847,-19.229,-12.616,28
182,-2,28420,Ryan Brehm,-1.143,-75.416,-90.256,14.841,66
183,-2,33597,Harry Higgs,-1.190,-66.612,-81.961,15.352,56
184,-2,29970,Dylan Frittelli,-1.311,-76.010,-79.250,3.244,58
185,-2,33410,Andrew Landry,-1.315,-82.825,-87.576,4.755,63
186,-2,32662,Michael Gligic,-1.418,-72.297,-57.932,-14.362,51
187,-2,31557,Jim Herman,-1.437,-87.667,-58.433,-29.231,61
188,-2,51414,Brent Grant,-1.498,-80.876,-24.264,-56.609,54
189,-2,51950,Max McGreevy,-1.727,-108.783,-75.561,-33.219,63
190,-2,27095,Nick Watney,-1.884,-101.740,-91.551,-10.186,54
191,-2,51491,Brandon Matthews,-2.202,-92.495,-47.485,-45.008,42
