RANK,MOVEMENT,PLAYER_ID,PLAYER,SPAVG,TOTAL SG:PUTTING,MEASURED ROUNDS
51,0,45522,Christiaan Bezuidenhout,0.239,18.856,79
52,0,46717,Viktor Hovland,0.236,16.527,70
52,0,40115,Adam Svensson,0.236,23.580,100
54,0,29289,S.Y. Noh,0.231,10.400,45
55,0,31560,Brian Stuard,0.229,11.244,49
56,0,28420,Ryan Brehm,0.225,14.841,66
57,0,35461,Beau Hossler,0.224,19.713,88
58,0,49960,Sepp Straka,0.216,16.629,77
59,0,39971,Sungjae Im,0.207,17.606,85
60,0,23108,Matt Kuchar,0.203,15.459,76
61,0,28252,Seamus Power,0.202,13.135,65
62,0,51997,Andrew Novak,0.195,12.655,65
63,0,31202,William McGirt,0.191,6.490,34
64,0,29535,Brice Garnett,0.176,10.929,62
65,0,52513,Carson Young,0.172,12.359,72
66,0,54628,Lee Hodges,0.165,14.677,89
67,0,28237,Rory McIlroy,0.164,9.520,58
68,0,35532,Tom Hoge,0.162,13.749,85
69,0,36699,Patrick Rodgers,0.161,13.559,84
70,0,24024,Zach Johnson,0.156,8.559,55
71,0,30926,Chris Kirk,0.145,10.588,73
72,0,55182,Tom Kim,0.115,8.732,76
72,0,32139,Danny Willett,0.115,6.093,53
74,0,57362,Austin Eckroat,0.112,7.705,69
75,0,54421,Garrick Higgo,0.101,9.094,90
76,0,39975,Michael Kim,0.094,6.507,69
77,0,39546,Keith Mitchell,0.093,6.775,73
78,0,34046,Jordan Spieth,0.086,5.302,62
78,0,27963,Chris Stroud,0.086,3.436,40
80,0,28775,Nate Lashley,0.080,6.600,83
81,0,33410,Andrew Landry,0.075,4.755,63
81,0,48867,Matti Schmid,0.075,3.840,51
83,0,35310,Lanto Griffin,0.064,2.815,44
84,0,25632,Jimmy Walker,0.061,4.564,75
85,0,29970,Dylan Frittelli,0.056,3.244,58
86,0,31646,Emiliano Grillo,0.055,4.853,88
87,0,34409,David Lingmerth,0.051,2.958,58
88,0,55708,Hayden Buckley,0.050,3.231,64
88,0,53165,Doc Redman,0.050,3.292,66
90,0,47988,Nick Hardy,0.039,3.385,86
90,0,32333,Kevin Tway,0.039,3.024,77
92,0,36801,Mark Hubbard,0.038,3.307,88
93,0,40058,Zac Blair,0.035,2.191,62
94,0,22056,Cameron Percy,0.034,1.420,42
95,0,33413,Ben Martin,0.018,1.406,79
96,0,50095,Austin Smotherman,0.014,1.078,78
97,0,51890,Greyson Sigg,-0.003,-0.294,86
98,0,25818,Scott Piercy,-0.010,-0.694,67
99,0,32791,K.H. Lee,-0.020,-1.596,79
100,0,49766,Hank Lebioda,-0.021,-0.865,41
101,0,40250,Taylor Pendrith,-0.024,-1.888,79
102,0,32366,Kevin Chappell,-0.030,-1.051,35
102,0,48887,Matt Wallace,-0.030,-1.987,67
104,0,27974,Sung Kang,-0.038,-1.141,30
105,-1,29221,Webb Simpson,-0.052,-2.689,52
106,-1,46441,Robby Shelton,-0.060,-4.947,82
107,-1,27936,Martin Laird,-0.070,-4.699,67
108,-1,32757,Patton Kizzire,-0.081,-6.490,80
109,-1,26596,Ryan Moore,-0.086,-5.266,61
110,-1,29908,C.T. Pan,-0.090,-3.497,39
111,-1,35617,Martin Trainer,-0.101,-3.737,37
112,-1,39997,Corey Conners,-0.102,-7.377,72
113,-1,36799,Stephan Jaeger,-0.106,-11.011,104
114,-1,50525,Collin Morikawa,-0.109,-6.736,62
115,-1,33204,Shane Lowry,-0.114,-6.400,56
116,-1,32839,Hideki Matsuyama,-0.119,-8.302,70
117,-1,26476,Chez Reavie,-0.124,-10.556,85
118,-1,34098,Russell Henley,-0.125,-8.717,70
118,-1,27214,Kevin Streelman,-0.125,-10.484,84
120,-1,52374,Brandon Wu,-0.126,-10.318,82
121,-1,45157,Cam Davis,-0.127,-10.173,80
122,-1,29725,Tony Finau,-0.133,-9.718,73
122,-1,47995,Davis Riley,-0.133,-10.145,76
124,-1,47079,Harrison Endycott,-0.134,-8.965,67
125,-1,20229,Stewart Cink,-0.136,-8.583,63
126,-1,49453,Trevor Cone,-0.142,-8.812,62
126,-1,58168,Davis Thompson,-0.142,-11.931,84
128,-1,46435,Austin Cook,-0.147,-8.074,55
129,-1,48117,Kurt Kitayama,-0.149,-8.209,55
130,-1,55454,Carl Yuan,-0.151,-9.975,66
131,-1,48699,Callum Tarren,-0.161,-13.025,81
131,-1,33448,Justin Thomas,-0.161,-10.816,67
133,-1,19803,Ryan Armour,-0.168,-11.101,66
133,-1,40006,Erik van Rooyen,-0.168,-9.432,56
135,-1,24140,Sean O'Hair,-0.169,-5.072,30
